Tinh_TP,Quan_huyen,Phuong_xa,Vi_do,Kinh_do
An Giang,Tri Tôn,Ba Chúc,,
Bắc Giang,Hiệp Hòa,Bắc Lý,,
Bắc Giang,Hiệp Hòa,Thị trấn Thắng,,
Bắc Giang,Lục Ngạn,Đèo Gia,,
Bắc Giang,Lục Ngạn,Tân Quang,,
Bắc Ninh,Tiên Du,Liên Bão,,
Bắc Ninh,Từ Sơn,Tân Hồng,,
Bến Tre,Mỏ Cày Bắc,Hưng Khánh Trung A,,
Biên Hòa,Trảng Dài,Khu Phố 4B,,
Bình Thuận,La Gi,Phước Lộc,,
Cà Mau,Đầm Dơi,Tân Đức,,
Cao Bằng,Bảo Lạc,Khánh Xuân,,
Chơn Thành,Minh Hưng,Ấp 8,,
Chư Sê,TT. Chư Sê,Tổ Dân Phố 3,,
Điện Biên,Điện Biên,Mường Nhà,,
Điện Biên,Điện Biên,Na Ư,,
Điện Biên,Điện Biên Đông,Keo Lôm,,
Điện Biên,Điện Biên Đông,Nong U,,
Điện Biên,Điện Biên Đông,Phì Nhừ,,
Điện Biên,Điện Biên Đông,Phình Giang,,
Điện Biên,Điện Biên Đông,Phình Giàng,,
Điện Biên,Điện Biên Đông,Pú Hồng,,
Điện Biên,Điện Biên Đông,Pu Nhi,,
Điện Biên,Điện Biên Đông,Tìa Dình,,
Điện Biên,Điện Biên Đông,Xa Dung,,
Điện Biên,Điện Biên Đông,xã Háng Lìa,,
Điện Biên,Điện Biên Đông,Phình Giàng,,
Điện Biên,Điện Biên Đông,Pu Nhi,,
Điện Biên,Điện Biên Phủ,Mường Phăng,,
Điện Biên,Huyện Điện Biên,Mường Nhà,,
Điện Biên,Huyện Điện Biên,Na Tông,,
Điện Biên,Huyện Điện Biên,Na Ư,,
Điện Biên,huyện Điện Biên Đông,xã Pu Nhi,,
Điện Biên,Mường Ảng,Ẳng Tở,,
Điện Biên,Mường Ảng,Mường Lạn,,
Điện Biên,Mường Ảng,Ngối Cáy,,
Điện Biên,Mưởng Ảng,Ẳng Tở,,
Điện Biên,Mường Chà,Na Sang,,
Điện Biên,Mường Lay,Lay Nưa,,
Điện Biên,Mường Nhé,Leng Su Sìn,,
Điện Biên,Mường Nhé,Pá Mỳ,,
Điện Biên,Mường Nhé,Xã Mường Nhé,,
Điện Biên,Mường Nhè,Quảng Lâm,,
Điện Biên,Nậm Pồ,Nà Bủng,,
Điện Biên,Nậm Pồ,Nậm Nhừ,,
Điện Biên,Nậm Pồ,Vàng Đán,,
Điện Biên,Tủa Chua,Sính Phình,,
Điện Biên,Tủa Chùa,Thị trấn Tủa Chùa,,
Điện Biên,Tuần Giáo,Chiềng Khoang,,
Điện Biên,Tuần Giáo,Mùn Chung,,
Điện Biên,Tuần Giáo,Mường Mùn,,
Điện Biên,Tuần Giáo,Nà Tòng,,
Điện Biên,Tuần Giáo,Pú Nhung,,
Điện Biên,Tuần Giáo,Pú Xi,,
Điện Biên,Tuần Giáo,Quài Cang,,
Điện Biên,Tuần Giáo,Quài Nưa,,
Điện Biên,Tuần Giáo,Thị trấn Tuần Giáo,,
Điện Biên,Mường Ảng,Ẳng Tở,,
Diễn Châu,Diễn Hoàng,xóm Phú Đông,,
Đông Triều,Mạo Khê,Khu Vĩnh Quang 2,,
Gia Lai,Ia Grai,Ia Tô,,
Hà Giang,Bắc Quang,Vĩnh Phúc,,
Hà Giang,Hoàng Su Phì,Đản Ván,,
Hà Giang,Hoàng Su Phì,Ngàm Đăng Vài,,
Hà Giang,Mèo Vạc,Lũng Pù,,
Hà Giang,Mèo Vạc,Khâu Vai,,
Hà Giang,Quang Bình,Tân Trịnh,,
Hà Giang,Vị Xuyên,Nông Trường Việt Lâm,,
Hà Giang,Yên Minh,Na Khê,,
Hạ Long,Giếng Đáy,Khu 5,,
Hà Nội,Ba Vì,Chu Minh,,
Hà Nội,Ba Vì,Đồng Thái,,
Hà Nội,Ba Vì,Vân Hòa,,
Hà Nội,Chương Mỹ,Hoàng Diệu,,
Hà Nội,Chương Mỹ,Hợp Đồng,,
Hà Nội,Phúc Thọ,Vân Phúc,,
Hải Dương,Chí Linh,Văn Đức,,
Hải Dương,Gia Lộc,Toàn Thắng,,
Hải Dương,Kim Thành,Kim Anh,,
Hải Dương,Kim Thành,Phú Thái,,
Hải Dương,Kim Thành,Phúc Thành,,
Hải Dương,Kinh Môn,An Sinh,,
Hải Dương,Kinh Môn,Hiến Thành,,
Hải Dương,Kinh Môn,Phạm Thái,,
Hải Dương,Kinh Môn,Tân Dân,,
Hải Dương,Kinh Môn,Phú Thứ,,
Hải Dương,Thanh Hà,Thanh Quang,,
Hải Dương,Thanh Hà,Thanh Xá,,
Hải Dương,Thanh Hà,Thị trấn Thanh Hà,,
Hải Dương,Thanh Miện,Ngũ Hùng,,
Hải Dương,Thanh Miện,Thanh Giang,,
Hải Dương,Thành phố Hải Dương,ái Quốc,,
Hải Dương,Thị xã Kinh Môn,Lê Ninh,,
Hải Dương,Tứ Kỳ,Văn Tố,,
Hải Dương,Tứ Kỳ,xã Văn Tố,,
Hải Phòng,An Dương,An Đồng,,
Hải Phòng,An Dương,An Hồng,,
Hải Phòng,An Dương,An Hưng,,
Hải Phòng,An Dương,Đại Bản,,
Hải Phòng,An Dương,Hồng Phong,,
Hải Phòng,An Dương,Lê Thiện,,
Hải Phòng,An Dương,Nam Sơn,,
Hải Phòng,An Dương,Tân Tiến,,
Hải Phòng,An Lão,An Thắng,,
Hải Phòng,An Lão,An Tiến,,
Hải Phòng,An Lão,Tân Dân,,
Hải Phòng,An Lão,Trường Thọ,,
Hải Phòng,An Lão,TT An Lão,,
Hải Phòng,Hải An,Cát Bi,,
Hải Phòng,Hải An,Đằng Hải,,
Hải Phòng,Hồng Bàng,Hạ Lý,,
Hải Phòng,Hồng Bàng,Hùng Vương,,
Hải Phòng,Hồng Bàng,Minh Khai,,
Hải Phòng,Hồng Bàng,Quán Toan,,
Hải Phòng,Hồng Bàng,Sở Dầu,,
Hải Phòng,Hồng Bàng,Thượng Lý,,
Hải Phòng,Hồng Bàng,Trài Chuối,,
Hải Phòng,Hồng Bàng,Trại Chuối,,
Hải Phòng,Kiến An,Bắc Sơn,,
Hải Phòng,Kiến An,Phù Liễn,,
Hải Phòng,Lê Chân,An Biên,,
Hải Phòng,Lê Chân,Cát Dài,,
Hải Phòng,Lê Chân,Hàng Kênh,,
Hải Phòng,Lê Chân,Nghĩa Xá,,
Hải Phòng,Lê Chân,Trại Cau,,
Hải Phòng,Lê Chân,Trần Nguyên Hãn,,
Hải Phòng,Ngô Quyền,Đông Khê,,
Hải Phòng,Ngô Quyền,Lạc Viên,,
Hải Phòng,Ngô Quyền,Máy Tơ,,
Hải Phòng,Thủy Nguyên,An Lư,20.90729645,106.7026153
Hải Phòng,Thủy Nguyên,An Sơn,20.99532546,106.5670708
Hải Phòng,Thủy Nguyên,Cao Nhân,20.93527794,106.6131497
Hải Phòng,Thủy Nguyên,Chính Mỹ,20.96673295,106.6270145
Hải Phòng,Thủy Nguyên,Đông Sơn,20.94031765,106.6565662
Hải Phòng,Thủy Nguyên,Dương Quan,20.88787484,106.6918376
Hải Phòng,Thủy Nguyên,Gia Đức,20.98151357,106.7461079
Hải Phòng,Thủy Nguyên,Gia Minh,20.99349407,106.7019291
Hải Phòng,Thủy Nguyên,Hòa Bình,20.94194041,106.6831593
Hải Phòng,Thủy Nguyên,Hoa Động,20.89406039,106.6640975
Hải Phòng,Thủy Nguyên,Hoàng Động,20.89489043,106.6299864
Hải Phòng,Thủy Nguyên,Hợp Thành,20.95419092,106.6005719
Hải Phòng,Thủy Nguyên,Kênh Giang,20.95656415,106.6548458
Hải Phòng,Thủy Nguyên,Kiền Bái,20.91898234,106.6333704
Hải Phòng,Thủy Nguyên,Kỳ Sơn,20.99151502,106.6120734
Hải Phòng,Thủy Nguyên,Lại Xuân,21.00941816,106.5931651
Hải Phòng,Thủy Nguyên,Lâm Động,20.89540493,106.6469182
Hải Phòng,Thủy Nguyên,Lập Lễ,20.89749224,106.7385904
Hải Phòng,Thủy Nguyên,Liên Khê,21.00007509,106.6446453
Hải Phòng,Thủy Nguyên,Lưu Kiếm,20.97314195,106.6707122
Hải Phòng,Thủy Nguyên,Lưu Kỳ,20.99981515,106.6709672
Hải Phòng,Thủy Nguyên,Minh Đức,20.96303506,106.7434749
